"id","title","category-level-one","category-level-two","cook-type","total-btu","total-grill-size","cooking-temperature-range","primary-cooking-space","number-of-racks","side-burner","sear-functionality","stand-type","grill-type","gluten-free","low-or-sodium-free","suger-free","no-msg","dimensions","rear-rotisserie-burner"
"gid://shopify/Product/6554683736216","Hardcore Carnivore - Peach BBQ Butcher Paper Roll","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554683768984","Jack Daniel's - Sweet & Spicy BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554683801752","Jack Daniel's - Honey BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554683834520","Jack Daniel's - Original BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554683867288","Hey Grill Hey - Signature Sweet Rub","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554683932824","Hey Grill Hey - Signature Chicken Seasoning","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684031128","Hey Grill Hey - Signature Beef Seasoning","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684096664","Hey Grill Hey - Whiskey Peach BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684129432","Hey Grill Hey - Everything Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684227736","Hey Grill Hey - Maple Bourbon Grilling Glaze","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684358808","Hey Grill Hey - Apple Jalapeno BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684391576","Traeger I'd Smoke That Pig - T-Shirt","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684457112","Traeger Certified Hoodie","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684555416","Traeger Certified Curved Brim Hat","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684620952","Traeger - Staydry Pellet Bin & Lid","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684653720","Traeger Rib Rack","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684686488","Traeger Stainless Grill Basket","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684752024","Traeger - Replacement BBQ Cleaning Brush 2 Pack","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684817560","Traeger - BBQ Grilling Tongs","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684850328","Traeger Hot Rod Replacement","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684915864","Traeger Grill Insulation Blanket - Pro 780","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684948632","Traeger Grill Insulation Blanket - 34 Series","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554684981400","Yeti Rambler Bottle 26oz - Brick Red","","","","","","","","","","","","","","","","","",""
