Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
arteflame-grate-riser,ARTEFLAME GRATE RISER,<p></p>,Arteflame,Accessories,"",false,Title,Default Title,,,,,ARTERISER,0.0,shopify,0,continue,manual,119.99,,true,true,'04004293250004,,,,false,,,,,,,,,,,,,,,,,lb,,59.50,active
a-maze-n-maple-pellets-2lb,A-MAZE-N - Maple Pellets 2Lbs,"<span data-mce-fragment=""1"">A-MAZE-N's all-natural Maple Wood Pellets are made from 100% maple hardwood. No added fillers, binders, or oils. Made specifically for A-MAZE-N Smoke Generators. 2 lb. bag.</span>",A-Maze-N Products,Fuel,"Brand_A-Maze-N Products, Type_Wood Pellets",true,Title,Default Title,,,,,AMNP2-STD-0007,1360.77711,shopify,0,continue,manual,7.99,,true,true,'851786005167,https://cdn.shopify.com/s/files/1/0506/2839/5160/products/Pellet_Mound_21200_7105dd88-a60c-48a0-a948-65e183cdea5b.jpg?v=1614818269,1,,false,,,,,,,,,,,,,,,,,lb,,2.70,active
a-maze-n-oak-pellets-2lb,A-MAZE-N - Oak Wood Pellets 2lbs,"<span data-mce-fragment=""1"">A-MAZE-N's all-natural Oak Wood Pellets are made from 100% Oak hardwood. No added fillers, binders, or oils. Made specifically for A-MAZE-N Smoke Generators. 2 lb. bag.</span>",A-Maze-N Products,Fuel,"Brand_A-Maze-N Products, Type_Wood Pellets",true,Title,Default Title,,,,,AMNP2-STD-0008,1360.77711,shopify,0,continue,manual,7.99,,true,true,'00085178600513,https://cdn.shopify.com/s/files/1/0506/2839/5160/products/Pellet_Mound_21200_1471ad00-1a98-4827-8009-fa1b9e41f2be.jpg?v=1614818271,1,,false,,,,,,,,,,,,,,,,,lb,,2.70,active
a-maze-n-cherry-pellets-2lb,A-MAZE-N - Cherry Pellets 2Lbs,"<span data-mce-fragment=""1"">A-MAZE-N's all-natural Cherry Wood Pellets are made from 100% Cherry hardwood. No added fillers, binders, or oils. Made specifically for A-MAZE-N Smoke Generators. 2 lb. bag.</span>",A-Maze-N Products,Fuel,"Brand_A-Maze-N Products, Type_Wood Pellets",true,Title,Default Title,,,,,AMNP2-STD-0005,1360.77711,shopify,0,continue,manual,7.99,,true,true,'851786005143,https://cdn.shopify.com/s/files/1/0506/2839/5160/products/Pellet_Mound_21200.jpg?v=1614818273,1,,false,,,,,,,,,,,,,,,,,lb,,2.70,active
16-toss-pillow-sunbrella,"16"" TOSS PILLOW - SUNBRELLA",<p></p>,CRS,Furniture,"",false,Title,Default Title,,,,,CRS-16-TOSS,0.0,shopify,0,continue,manual,55.00,,true,true,'00000615202001,,,,false,,,,,,,,,,,,,,,,,lb,,21.70,active
32-delta-heat-head-w-rotis-ng,"32"" DELTA HEAT HEAD W/ROTIS NG",<p></p>,Delta Heat,Barbeques,"",false,Title,Default Title,,,,,DHBQ32R-CN,0.0,shopify,0,continue,manual,3779.00,,true,true,'00000032123456,,,,false,,,,,,,,,,,,,,,,,lb,,2256.60,active
a-maze-n-12-tube-kit,"A-MAZE-N 12"" Smoker Tube Combo Pack","<span data-mce-fragment=""1"">Enjoy great smoke flavor on any foods with this combo kit.  This kit includes everything required to start smoking today and provides up to 4 hours of smoke time.  Kit includes a 12” Tube Smoker, 12 oz of Pitmasters Choice BBQ Pellets and 4 oz bottle of Gel Fire Starter.</span>",A-Maze-N Products,Accessories,"Brand_A-Maze-N Products, Type_Smoking Accessories",true,Title,Default Title,,,,,COMBO12,3175.14659,shopify,0,continue,manual,49.99,,true,true,'851786005617,https://cdn.shopify.com/s/files/1/0506/2839/5160/products/6inTube_ComboPack_contents.png?v=1614818549,1,,false,,,,,,,,,,,,,,,,,lb,,17.00,active
a-maze-n-master-pellets-2lb,A-MAZE-N - Pitmaster's Choice Pellets 2lbs,"<span data-mce-fragment=""1"">A-MAZE-N PELLETS are made from 100% Flavor Wood. Each A-MAZE-N PELLET flavor is a 100% natural product with no added fillers, binders or oils. For example, if you order Apple, you will receive 100% Apple Wood in a pellet, not 20%-30% Apple Wood and 70%-80% Oak or Alder.</span>",A-Maze-N Products,Fuel,"Brand_A-Maze-N Products, Type_Wood Pellets",true,Title,Default Title,,,,,AMNP2-STD-0009,1360.77711,shopify,0,continue,manual,7.99,,true,true,'851786005174,https://cdn.shopify.com/s/files/1/0506/2839/5160/products/Pellet_Mound_21200_b45b4821-112d-4c89-9207-68de42bce570.jpg?v=1614818560,1,,false,,,,,,,,,,,,,,,,,lb,,2.70,active
70056-weber-ng-manifold,70056 WEBER NG MANIFOLD,<p></p>,Weber,Parts,"",false,Title,Default Title,,,,,'70056,0.0,shopify,0,continue,manual,79.99,,true,true,'00000000070056,,,,false,,,,,,,,,,,,,,,,,lb,,59.72,active
weber-spider-gaurd,4089700 - SPIDER GAURD,<p></p>,Weber,Parts,"",false,Title,Default Title,,,,,'4089700,0.0,shopify,0,continue,manual,8.99,,true,true,'00000000848452,,,,false,,,,,,,,,,,,,,,,,lb,,2.13,active
